,"date","getAuthor","author","getFiles","revision","file","arg0","RCSFile","files","CVSEntry","comment","getDate","getComment","toString","addElement","previousRevision"
"date",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"getAuthor",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"author",0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"getFiles",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"revision",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"file",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCSFile",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"files",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"CVSEntry",1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"comment",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"getDate",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getComment",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"addElement",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"previousRevision",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
