,"addArguments","getCurrentArgs","Commandline","log","src","createArgument","line","srcFile","run","convert","dest","args","getEncoding","destFile","setFile","setValue","cmd","value"
"addArguments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"getCurrentArgs",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Commandline",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"log",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"src",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"createArgument",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0
"line",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"srcFile",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"run",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"convert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"args",0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"getEncoding",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"destFile",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"setFile",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"setValue",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"cmd",1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0
"value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
