,"other","read","in","CompressedResource","CBZip2InputStream","length","i","wrapStream","out","CBZip2OutputStream","MAGIC","arg0","write"
"other",0,0,0,1,0,0,0,0,0,0,0,0,0
"read",0,0,1,0,0,0,0,0,0,0,0,0,0
"in",0,1,0,0,1,0,0,0,0,0,0,0,0
"CompressedResource",0,0,0,0,0,0,0,0,0,0,0,0,0
"CBZip2InputStream",0,0,0,0,0,0,0,1,0,0,0,0,0
"length",0,0,0,0,0,0,0,0,0,0,2,0,0
"i",0,0,0,0,0,0,0,0,0,0,2,0,0
"wrapStream",0,0,0,0,0,0,0,0,0,0,0,0,0
"out",0,0,0,0,0,0,0,0,0,1,0,0,1
"CBZip2OutputStream",0,0,0,0,0,0,0,1,0,0,0,0,0
"MAGIC",0,0,0,0,0,2,0,0,0,0,0,1,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0
"write",0,0,0,0,0,0,0,0,1,0,0,0,0
