,"temp","last","numElems","length","i","maxSize","loopLen","LoggingEvent","r","getMaxSize","get","CyclicBuffer","newSize","ea","event","IllegalArgumentException","first"
"temp",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"last",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"numElems",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"maxSize",0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
"loopLen",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LoggingEvent",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"r",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getMaxSize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CyclicBuffer",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"newSize",0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0
"ea",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"event",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"IllegalArgumentException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"first",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
