,"msg","debug","lastModif","fileExists","l","Thread","sleep","warn","filename","file","delay","arg0","exists","lastModified","LogLog","FileWatchdog","File"
"msg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"debug",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"lastModif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fileExists",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thread",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sleep",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"warn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"filename",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"file",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"delay",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exists",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"lastModified",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"LogLog",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"FileWatchdog",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"File",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
