,"container","add","JPanel","FlowLayout","GridBagLayout","bottom","getContentPane","main","setLayout","message","LogFactor5Dialog","CENTER","BorderLayout","arg1","jframe","arg0","SOUTH"
"container",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"add",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"JPanel",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"FlowLayout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GridBagLayout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"bottom",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"getContentPane",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"main",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"setLayout",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"message",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LogFactor5Dialog",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTER",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"BorderLayout",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jframe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTH",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
