,"isGreaterOrEqual","getAcceptOnMatch","toInt","LevelRangeFilter","decide","getLevelMin","getLevel","levelMax","r","ACCEPT","DENY","Filter","acceptOnMatch","event","getLevelMax","NEUTRAL","levelMin"
"isGreaterOrEqual",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getAcceptOnMatch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toInt",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"LevelRangeFilter",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2
"decide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLevelMin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLevel",1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"levelMax",0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0
"r",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCEPT",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"DENY",0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
"Filter",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
"acceptOnMatch",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"event",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"getLevelMax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEUTRAL",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"levelMin",0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1
