,"org.emftext.language.java.types.impl.IntImpl@ffcb06c","key2Value","toCharArray","FloatCache","typeIndex","CachedIndexEntry","binding","CLASS_INITIAL_SIZE","Util","org.emftext.language.java.types.impl.IntImpl@4e79bc26","ClinitSignature","IntegerCache","put","typeBinding","floatToIntBits","methodsAndFieldsCache","java","literalIndexForNameAndType","leafComponentType","FloatTag","org.emftext.language.java.types.impl.IntImpl@4379bfeb","key1Value","isInterface","literalIndexForMethod","IntegerTag","CodeName","savedCurrentOffset","index","doubleToLongBits","problemReporter","Float","literalIndexForField","referenceBinding","org.emftext.language.java.types.impl.IntImpl@7100a5aa","STRING_INITIAL_SIZE","org.emftext.language.java.types.impl.IntImpl@47af44d4","utf8Constant","poolContent","ClassTag","InterfaceMethodRefTag","classIndex","signature","org.emftext.language.java.types.impl.IntImpl@676b1b13","referenceType","putInNameAndTypeCacheIfAbsent","NameAndTypeTag","Utf8Tag","current","nameIndex","arraycopy","floatCache","get","key","org.emftext.language.java.types.impl.IntImpl@4aec4f18","LongTag","Clinit","tagBits","cachedIndexEntry","org.emftext.language.java.types.impl.IntImpl@b248ea5","i","longCache","lengthOffset","recordNestedType","nameIndexOffset","givenClassFile","org.emftext.language.java.types.impl.IntImpl@14ff0afe","headerOffset","org.emftext.language.java.types.impl.IntImpl@246d1832","literalIndex","AttributeNamesConstants","classFile","dumpBytes","org.emftext.language.java.types.impl.IntImpl@1dd18a3e","currentOffset","ConstantPool","equals","org.emftext.language.java.types.impl.ByteImpl@f3991ea","DoubleCache","NAMEANDTYPE_INITIAL_SIZE","TagBits","first","org.emftext.language.java.types.impl.IntImpl@50cd6e14","StringTag","stringIndex","key1","key2","key3","savedCurrentIndex","noMoreAvailableSpaceInConstantPool","DoubleTag","UTF8Cache","currentIndex","stringIndexOffset","second","ContainsNestedTypeReferences","MethodRefTag","constantPoolName","stringCache","stringCharArray","DOUBLE_INITIAL_SIZE","constantPoolIndex","minimalSize","org.emftext.language.java.types.impl.IntImpl@20ac6980","Double","declaringClass","arg3","toAdd","arg2","entry","arg4","FLOAT_INITIAL_SIZE","arg0","nameAndTypeCacheForFieldsAndMethods","name","header","org.emftext.language.java.types.impl.IntImpl@2be32857","charArrayCache","FieldRefTag","LongCache","utf8encoding","typeDeclaration","intCache","System","utf8encodingLength","doubleCache","remove","CharOperation","stringConstant","scope","CharArrayCache","selector","attributeName","lang","value","noMoreAvailableSpaceForConstant","putInCacheIfAbsent","org.emftext.language.java.types.impl.ByteImpl@6063acb7","temp","nameAndTypeIndex","classIndexOffset","literalIndexForLdc","org.emftext.language.java.types.impl.IntImpl@a93beb8","length","clear","METHODS_AND_FIELDS_INITIAL_SIZE","UTF8_INITIAL_SIZE","classCache","offsets","LONG_INITIAL_SIZE","literalIndexForType","constantPoolOffset","HashtableOfObject","putIfAbsent","INT_INITIAL_SIZE"
"org.emftext.language.java.types.impl.IntImpl@ffcb06c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"key2Value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toCharArray",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FloatCache",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"typeIndex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CachedIndexEntry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"binding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLASS_INITIAL_SIZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Util",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@4e79bc26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
