,"exceptionType","ExceptionLabel","MultiCatchExceptionLabel","temp","max","placeStart","length","i","resolvedType","codeStream","placeEnd","typeReference","exceptionLabels","place","typeReferences","getCount"
"exceptionType",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ExceptionLabel",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"MultiCatchExceptionLabel",0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0
"temp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"max",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"placeStart",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"length",0,1,0,0,0,0,1,0,0,0,0,0,4,0,1,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0
"resolvedType",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"codeStream",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"placeEnd",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"typeReference",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"exceptionLabels",0,0,10,0,0,1,4,0,0,0,1,0,0,1,0,1
"place",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"typeReferences",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
"getCount",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
