,"org.emftext.language.java.types.impl.LongImpl@de7c145","org.emftext.language.java.types.impl.LongImpl@60f05daa","nb4","def","org.emftext.language.java.types.impl.LongImpl@2e376fa1","org.emftext.language.java.types.impl.LongImpl@79a31faf","isDefinitelyAssigned","org.emftext.language.java.types.impl.LongImpl@4e509bac","type","org.emftext.language.java.types.impl.LongImpl@72b64aa8","org.emftext.language.java.types.impl.LongImpl@5e9f8a33","b1","b2","b3","org.emftext.language.java.types.impl.LongImpl@25d89fa","newLength","b4","org.emftext.language.java.types.impl.LongImpl@36e100e4","otherLength","addPotentialInitializationsFrom","id","isPotentiallyNonNull","hasNullInfo","mergedWith","org.emftext.language.java.types.impl.LongImpl@2391cfcd","org.emftext.language.java.types.impl.LongImpl@9dfeffb","org.emftext.language.java.types.impl.LongImpl@6d070b2a","org.emftext.language.java.types.impl.LongImpl@6ac5c27f","bits","ceil","UNREACHABLE_BY_NULLANALYSIS","unconditionalCopy","org.emftext.language.java.types.impl.LongImpl@e15db40","field","org.emftext.language.java.types.impl.LongImpl@9d83195","ax","vectorIndex","org.emftext.language.java.types.impl.LongImpl@663793c2","org.emftext.language.java.types.impl.LongImpl@4989dddf","UnconditionalFlowInfo","org.emftext.language.java.types.impl.LongImpl@3a6d592f","NotAConstant","thisHadNulls","isPotentiallyNull","org.emftext.language.java.types.impl.LongImpl@9171220","isDefinitelyUnknown","maxFieldCount","local","canOnlyBeNull","org.emftext.language.java.types.impl.LongImpl@43680c57","pot","arraycopy","bx","ASTNode","copy","org.emftext.language.java.types.impl.LongImpl@56b24b36","copyLength","tagBits","isDefinitelyNonNull","expression","org.emftext.language.java.types.impl.LongImpl@3f86906f","BitCacheSize","org.emftext.language.java.types.impl.LongImpl@33f4e27f","isPotentiallyAssigned","i","org.emftext.language.java.types.impl.LongImpl@3ac67950","org.emftext.language.java.types.impl.LongImpl@66aaff99","j","org.emftext.language.java.types.impl.LongImpl@206ca2c6","unconditionalInits","declaration","setReachMode","org.emftext.language.java.types.impl.LongImpl@7eea6569","isTrue","org.emftext.language.java.types.impl.LongImpl@205bf3cd","otherHasNulls","x","toString","cannotBeDefinitelyNullOrNonNull","enclosingType","TagBits","safeInitsWhenTrue","org.emftext.language.java.types.impl.LongImpl@266434","org.emftext.language.java.types.impl.LongImpl@c4b4e7f","addPotentialNullInfoFrom","UNREACHABLE","org.emftext.language.java.types.impl.LongImpl@6514a863","constant","addNullInfoFrom","mergeLimit","thisHasNulls","org.emftext.language.java.types.impl.LongImpl@377c3aba","extraLength","org.emftext.language.java.types.impl.LongImpl@4d09148c","unconditionalInitsWithoutSideEffect","org.emftext.language.java.types.impl.LongImpl@59643ef9","org.emftext.language.java.types.impl.LongImpl@8873308","inits","org.emftext.language.java.types.impl.LongImpl@4889590a","limit","org.emftext.language.java.types.impl.LongImpl@4fcc4b90","org.emftext.language.java.types.impl.LongImpl@2b196025","org.emftext.language.java.types.impl.LongImpl@360ded6d","NULL_FLAG_MASK","org.emftext.language.java.types.impl.LongImpl@30437a31","org.emftext.language.java.types.impl.LongImpl@37182e25","unconditionalFieldLessCopy","count","nullInfoLessUnconditionalCopy","org.emftext.language.java.types.impl.LongImpl@5e111a45","resetLimit","arg3","arg2","org.emftext.language.java.types.impl.LongImpl@2c794fbf","arg4","org.emftext.language.java.types.impl.LongImpl@1a397abe","discardNonFieldInitializations","arg1","arg0","org.emftext.language.java.types.impl.LongImpl@10b2c4cd","nullBit4","addInitializationsFrom","nullBit3","addInfoFrom","nullBit2","position","nullBit1","AssertionFailedException","isDefinitelyNull","Constant","org.emftext.language.java.types.impl.LongImpl@131d0e80","System","isProtectedNull","isProtectedNonNull","FlowInfo","RuntimeException","org.emftext.language.java.types.impl.LongImpl@254c60c6","extra","cannotBeNull","potentialInits","otherInits","org.emftext.language.java.types.impl.LongImpl@76c9c7d4","na2","na1","mask","na4","isPotentiallyUnknown","oldLength","fieldCount","na3","discardInitializationInfo","length","copyLimit","org.emftext.language.java.types.impl.LongImpl@5fff7626","initsWhenFalse","org.emftext.language.java.types.impl.LongImpl@33cc8ca2","nullS","initsWhenTrue","numberOfEnclosingFields","message","reachMode","IsLocalDeclarationReachable","a1","a2","a3","a4","org.emftext.language.java.types.impl.LongImpl@166e6d55","org.emftext.language.java.types.impl.LongImpl@9786979","definiteInits","IsBaseType","copyStart","nb1","nb3","org.emftext.language.java.types.impl.LongImpl@4fcf852f","nb2","org.emftext.language.java.types.impl.LongImpl@8de1ccc"
"org.emftext.language.java.types.impl.LongImpl@de7c145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@60f05daa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nb4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"def",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@2e376fa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@79a31faf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isDefinitelyAssigned",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@4e509bac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@72b64aa8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
