,"set","offset","contents","replace","length","getContents","DocumentAdapter","buffer","text","position","Document","setContents"
"set",0,0,0,0,0,0,0,0,0,0,1,0
"offset",0,0,0,1,0,0,0,0,0,1,0,0
"contents",0,0,0,0,0,0,0,0,0,0,0,0
"replace",0,0,0,0,0,0,0,1,0,0,1,0
"length",0,0,0,1,1,0,0,0,0,0,0,0
"getContents",0,0,0,0,0,0,0,1,0,0,1,0
"DocumentAdapter",0,0,0,0,0,0,0,3,0,0,0,0
"buffer",0,0,0,1,0,1,3,1,0,0,0,1
"text",1,0,1,1,0,0,0,0,1,0,0,0
"position",0,0,0,0,0,0,0,0,0,0,0,0
"Document",1,0,0,1,0,0,0,0,0,0,0,0
"setContents",0,0,0,0,0,0,0,1,0,0,0,0
