,"parent","length","i","dir","newChildren","JarEntryResource","getEntryName","JarEntryDirectory","getChildren","org.emftext.language.java.types.impl.ByteImpl@7d50eddd","simpleName","children","IJarEntryResource","ByteArrayInputStream","clone","newParent","getContents","toString","setParent","setChildren","child"
"parent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"length",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"i",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"dir",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
"newChildren",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"JarEntryResource",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getEntryName",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"JarEntryDirectory",0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"getChildren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.ByteImpl@7d50eddd",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"simpleName",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"children",0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1
"IJarEntryResource",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ByteArrayInputStream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"clone",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"newParent",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getContents",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setParent",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setChildren",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"child",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
