,"accessibility","match","type","modifiers","JavaSearchTypeNameMatch","getAccessibility","TypeNameMatch","getType","obj","hashCode","equals","arg0","toString","getModifiers"
"accessibility",1,0,0,0,2,1,0,0,0,0,0,0,0,0
"match",0,0,0,0,0,0,0,2,0,0,0,0,0,2
"type",0,0,2,0,9,0,0,1,0,1,1,0,1,0
"modifiers",0,0,0,2,6,0,0,0,0,1,2,0,0,1
"JavaSearchTypeNameMatch",2,0,9,6,0,0,0,0,0,0,0,0,0,0
"getAccessibility",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TypeNameMatch",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"getType",0,2,0,0,0,0,0,0,0,0,1,1,0,0
"obj",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,1,0,0,0,0,0,0,1,0,0,0,0
"equals",0,0,1,0,0,0,0,0,0,0,1,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,1,0,0,0,1,0,0,0,0,0,2,0
"getModifiers",0,2,0,0,0,0,0,0,0,0,2,0,0,0
