,"FormatJavadocBlock","toStringDebug","sourceEnd","blocks","lineStart","length","Javadoc","i","isMultiLine","source","sourceStart","lineEnd","FormatJavadoc","StringBuffer","toString","buffer","getFirstBlock","append","toDebugString"
"FormatJavadocBlock",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toStringDebug",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sourceEnd",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"blocks",0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0
"lineStart",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"length",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Javadoc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isMultiLine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"source",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"sourceStart",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"lineEnd",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"FormatJavadoc",0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"StringBuffer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"buffer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"getFirstBlock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"toDebugString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
