,"other","thisValue","in","WritableUtils","i","compareTo","readVLong","out","o","stream","hashCode","get","writeVLong","equals","arg0","Long","VLongWritable","toString","value","thatValue"
"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"thisValue",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"in",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"WritableUtils",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"compareTo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"readVLong",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"out",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"o",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"stream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"get",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"writeVLong",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Long",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"VLongWritable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"value",1,1,0,0,1,0,0,0,0,0,1,1,0,2,1,0,3,0,2,0
"thatValue",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
