,"fname","cppType","CType","cType","RIO_PREFIX","l","s","Consts","tmp","CppDouble","jType","append","cb","JavaDouble"
"fname",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"cppType",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CType",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cType",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIO_PREFIX",0,0,0,0,0,0,1,1,0,0,0,0,0,0
"l",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"s",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Consts",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"tmp",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"CppDouble",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"jType",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,0,0,0,0,0,0,0,18,0
"cb",0,0,0,0,0,0,0,0,0,0,0,18,0,0
"JavaDouble",0,0,0,0,0,0,0,0,0,0,1,0,0,0
