,"normal","b","read","InputStreamReader","in","off","System","out","println","lastCharNL","arg0","state","sentSemi","buff","CommandLineReader","FilterReader"
"normal",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"b",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"read",0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"InputStreamReader",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"in",0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1
"off",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"System",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"out",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"println",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"lastCharNL",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"state",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sentSemi",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"buff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CommandLineReader",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FilterReader",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
