,"amount","offset","getLineSegment","line","Increase","calculateIndent","o","str","getIndentSize","getTabSize","current","AlignParameter","tabSize","openParensColumn","equals","StandardUtilities","AlignOffset","oldIndent","buffer","newIndent","getLeadingWhiteSpaceWidth"
"amount",1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"offset",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getLineSegment",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"line",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Increase",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"calculateIndent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"str",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getIndentSize",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"getTabSize",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"current",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AlignParameter",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"tabSize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"openParensColumn",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StandardUtilities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AlignOffset",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oldIndent",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"buffer",0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"newIndent",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLeadingWhiteSpaceWidth",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
