,"thisLineIndex","add","Character","previous","getLineSegment","prevLineIndex","line","length","i","isWhitespace","current","NoIncrease","arg0","indentActions","buffer","charAt"
"thisLineIndex",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"add",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Character",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"previous",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"getLineSegment",0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0
"prevLineIndex",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"line",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"length",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"isWhitespace",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"current",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"NoIncrease",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indentActions",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"buffer",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"charAt",0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0
