,"add","next","TextEvent","textValueChanged","TEXT_VALUE_CHANGED","listeners","itr","hasNext","remove","te","iterator","newText","arg0","tl","toString","StringModel","theText"
"add",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"next",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"TextEvent",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"textValueChanged",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEXT_VALUE_CHANGED",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"listeners",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"itr",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hasNext",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"remove",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"te",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"iterator",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"newText",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tl",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"StringModel",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"theText",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
