,"TextAnchor","o1","getLabel","o2","getLabelAnchor","CategoryTick","labelAnchor","getCategory","label","ObjectUtilities","CENTER","equal","result","that","obj","hashCode","equals","rotationAnchor","angle","Tick","category"
"TextAnchor",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"o1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLabel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLabelAnchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CategoryTick",0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4
"labelAnchor",0,1,0,1,1,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"getCategory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"label",0,1,1,1,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"ObjectUtilities",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"CENTER",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"equal",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
"that",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"obj",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"rotationAnchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"angle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"category",0,1,0,1,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
