,"getObject","o1","o2","ComparableObjectItem","compareTo","ObjectUtilities","result","equal","that","obj","hashCode","getComparable","arg0","equals","x","clone","y","Cloneable"
"getObject",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"o2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ComparableObjectItem",0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0
"compareTo",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"ObjectUtilities",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"equal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"that",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"obj",1,1,1,6,0,0,1,0,2,0,1,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0
"getComparable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"x",0,0,0,5,1,0,0,0,2,0,1,1,2,1,1,0,0,0
"clone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"y",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Cloneable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
