,"that","POSITIVE","RangeType","readResolve","obj","hashCode","arg0","equals","name","NEGATIVE","toString","FULL"
"that",0,0,0,0,0,0,0,0,0,0,1,0
"POSITIVE",0,0,2,1,1,0,0,0,0,0,0,0
"RangeType",0,2,0,0,0,0,0,3,4,2,0,2
"readResolve",0,0,0,0,0,0,0,0,0,0,0,0
"obj",1,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,1,0,0,1,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,3,0,0,0,0,0,1,0,0,0
"name",0,0,4,0,0,1,0,1,1,0,1,0
"NEGATIVE",0,0,2,1,1,0,0,0,0,0,0,0
"toString",1,0,0,0,0,0,1,0,0,0,0,0
"FULL",0,0,2,1,1,0,0,0,0,0,0,0
