,"owner","getLocation","grow","locate","getLocationOnDrawing","Rectangle","l","getOwner","p","view","r","arg1","arg0","drawingToView","basicGetBounds","getHandlesize","AbstractHandle","locator"
"owner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"getLocation",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"grow",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"locate",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
"getLocationOnDrawing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rectangle",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getOwner",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"view",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"r",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"drawingToView",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"basicGetBounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getHandlesize",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"AbstractHandle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"locator",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
