,"editor","newValue","evt","PropertyChangeListener","fireUndoableEditHappened","edit","listener","getOldValue","removePropertyChangeListener","getNewValue","getSelectionCount","AbstractViewAction","view","equals","isEnabled","arg0","getDrawing","addPropertyChangeListener","propertyChangeHandler","getView","getPropertyName"
"editor",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"newValue",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evt",0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2
"PropertyChangeListener",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fireUndoableEditHappened",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"edit",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"listener",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getOldValue",0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"removePropertyChangeListener",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getNewValue",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getSelectionCount",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"AbstractViewAction",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"view",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"isEnabled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDrawing",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"addPropertyChangeListener",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"propertyChangeHandler",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getView",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"getPropertyName",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
