,"add","editor","getClass","getFigures","figure","f","getString","AbstractSelectedAction","NAME","labels","contains","arg1","arg0","addToSelection","getDrawing","AbstractAction","getView","selectedClasses","selected","HashSet","getSelectedFigures"
"add",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"editor",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getClass",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"getFigures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"figure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getString",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"AbstractSelectedAction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAME",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"labels",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"addToSelection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getDrawing",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AbstractAction",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"getView",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"selectedClasses",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"selected",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HashSet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getSelectedFigures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
