,"other","compare","getPremise","i","compareTo","Double","otherRule","numItems","result","contains","getPrimaryMetricValue","size","arg1","arg0","equals","getConsequence","items"
"other",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"compare",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"getPremise",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"compareTo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otherRule",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"numItems",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"contains",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"getPrimaryMetricValue",1,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0
"size",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"getConsequence",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"items",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
