,"extension","getExtension","ArrayList","getRankingQuality","modelLiftGraph","LiftData","targetFieldDisplayValue","getTargetFieldValue","getRandomLiftGraph","targetFieldValue","getOptimumLiftGraph","optimumLiftGraph","randomLiftGraph","rankingQuality","getTargetFieldDisplayValue","getModelLiftGraph","value"
"extension",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getRankingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"modelLiftGraph",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"LiftData",1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
"targetFieldDisplayValue",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"getTargetFieldValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getRandomLiftGraph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"targetFieldValue",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"getOptimumLiftGraph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"optimumLiftGraph",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"randomLiftGraph",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"rankingQuality",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"getTargetFieldDisplayValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getModelLiftGraph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
