,"extension","getExtension","fieldColumnPair","defaultValue","dataType","getDataType","mapMissingTo","ArrayList","getTableLocator","getMapMissingTo","getDefaultValue","outputColumn","MapValues","tableLocator","getFieldColumnPair","getOutputColumn","value","inlineTable","getInlineTable"
"extension",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fieldColumnPair",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"defaultValue",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"dataType",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"getDataType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mapMissingTo",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ArrayList",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTableLocator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getMapMissingTo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDefaultValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"outputColumn",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"MapValues",1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"tableLocator",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"getFieldColumnPair",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getOutputColumn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
"inlineTable",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"getInlineTable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
