,"extension","getExtension","getTargetValue","max","castInteger","getCastInteger","getMax","ArrayList","getField","getRescaleConstant","rescaleFactor","getOptype","optype","rescaleConstant","Target","min","field","getMin","targetValue","value","getRescaleFactor"
"extension",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getTargetValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"castInteger",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getCastInteger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getMax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getField",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getRescaleConstant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rescaleFactor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"getOptype",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"optype",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"rescaleConstant",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Target",1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"field",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"getMin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"targetValue",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"value",0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0
"getRescaleFactor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
