,"TIMESERIESUSAGE","TimeSeries","INTERPOLATIONMETHOD","usage","ArrayList","ORIGINAL","timeValue","getTimeAnchor","getInterpolationMethod","getUsage","getEndTime","interpolationMethod","timeAnchor","startTime","getTimeValue","endTime","getStartTime","NONE","value"
"TIMESERIESUSAGE",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TimeSeries",0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
"INTERPOLATIONMETHOD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"usage",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ORIGINAL",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"timeValue",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getTimeAnchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getInterpolationMethod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getUsage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getEndTime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"interpolationMethod",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"timeAnchor",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"startTime",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"getTimeValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"endTime",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getStartTime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NONE",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
